filer_id,filer_previous_id,cand_comm_name,election_year,election_type,county_desc,filing_abbrev,filing_desc,filing_cat_desc,filing_sched_abbrev,filing_sched_desc,loan_lib_number,trans_number,trans_mapping,sched_date,org_date,cntrbr_type_desc,cntrbn_type_desc,transfer_type_desc,receipt_type_desc,receipt_code_desc,purpose_code_desc,r_subcontractor,flng_ent_name,flng_ent_first_name,flng_ent_middle_name,flng_ent_last_name,flng_ent_add1,flng_ent_city,flng_ent_state,flng_ent_zip,flng_ent_country,payment_type_desc,pay_number,owned_amt,org_amt,loan_other_desc,trans_explntn,r_itemized,r_liability,election_year_str,office_desc,district,dist_off_cand_bal_prop,r_amend,transaction_type,corp_name
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459243,,2017-12-04,,,,,,,Political Contributions,,Jeff Klein Excelsior,,,,2018 Williamsbridge Rd,Bronx,NY,10461,United States,Check,CHK1282,,5000.0,,,Y,,,,,,N,expenditures,JEFF KLEIN EXCELSIOR
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459247,,2017-12-04,,,,,,,Political Contributions,,Senate Independence Campaign Committee,,,,319 Trotting Lane,Westbury,NY,11590,United States,Check,CHK1283,,25000.0,,,Y,,,,,,N,expenditures,SICC
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459244,,2017-12-12,,,,,,,Political Contributions,,Kaminsky 2018,,,,100 Merrick Road Suite 320e,Rockville Centre,NY,11570,United States,Check,CHK1285,,2500.0,,,Y,,,,,,N,expenditures,KAMINSKY 2018
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459252,,2017-12-12,,,,,,,Political Contributions,,Mike Ranzenhofer For State Senate,,,,8975 Main St,Clarence,NY,14031,United States,Check,CHK1293,,1000.0,,,Y,,,,,,N,expenditures,MIKE RANZENHOFER FOR STATE SENATE
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459251,,2017-12-12,,,,,,,Political Contributions,,Senate Republican Campaign Committee,,,,Po Box 7229,Albany,NY,12211,United States,Check,CHK1292,,10000.0,,,Y,,,,,,N,expenditures,SENATE REPUBLICAN CAMPAIGN COMMITTEE
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459250,,2017-12-12,,,,,,,Political Contributions,,Friends Of John Flanagan,,,,Po Box 7108,Albany,NY,12224,United States,Check,CHK1291,,1000.0,,,Y,,,,,,N,expenditures,FRIENDS OF JOHN FLANAGAN
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459245,,2017-12-12,,,,,,,Political Contributions,,Schneiderman 2018,,,,82 Nassau StreetSuite 250,New York,NY,10038,United States,Check,CHK1286,,10000.0,,,Y,,,,,,N,expenditures,SCHNEIDERMAN 2018
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459242,,2017-12-12,,,,,,,Political Contributions,,Nys Independence Party,,,,P.O. Box 345,Babylon,NY,11702,United States,Check,CHK1284,,5000.0,,,Y,,,,,,N,expenditures,NYS INDEPENDENCE PARTY
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459240,,2017-12-12,,,,,,,Political Contributions,,Kennedy For Senate,,,,17 Patricia Dr.,Tonawanda,NY,14150,United States,Check,CHK1288,,8000.0,,,Y,,,,,,N,expenditures,KENNEDY FOR SENATE
6884,A00777,Real Estate Board Pac,2018,State/Local,,J,January Periodic,Itemized,F,Expenditures/ Payments,,459246,,2017-12-12,,,,,,,Political Contributions,,Nys Democratic Senate Campaign Committee,,,,111 Washington Avenue,Albany,NY,12210,United States,Check,CHK1287,,2500.0,,,Y,,,,,,N,expenditures,DSCC
